distraction,Velocity,PCPS,glances_greater_than_2_mean,LaneOffset
0.0,34.823095333333335,0.6754421187832573,0.0,0.0565984333333333
0.0,35.44478361666667,0.7245032991877308,0.0,0.0788225
0.0,35.22015995,0.7550000265197514,0.0,0.0202692666666666
0.0,35.356271033333336,0.7074129640258855,0.0,-0.0188833333333333
0.0,35.59854176666667,0.7566037118344611,0.0,0.0723849999999999
0.0,35.36927958333333,0.6189094171670197,0.0,0.2885063666666667
0.0,35.53806715,0.700219471096095,0.0,0.5273161
0.0,35.6166768,0.7571509886228621,0.0,0.7154759166666668
0.0,35.17969648333334,0.7826877165721022,0.0,0.7267959166666667
0.0,34.72176225,0.7437312281873127,0.0,0.5555779833333333
0.0,34.354830766666666,0.7535857563353243,0.0,0.4788573166666667
0.0,34.03786206666667,0.7294980942206097,0.0,0.43364575
0.0,33.96096025,0.7789125767169983,0.0,0.2733943666666666
0.0,33.608108316666666,0.7893106249957503,0.0,0.1312516
0.0,33.567761133333335,0.8069092592605335,0.0,0.0401327666666666
0.0,33.88352865,0.7954749044044207,0.0,-0.016898
0.0,34.04531475,0.9572466048399207,0.0,-0.0465519666666666
0.0,33.757072916666665,0.8418812280171499,0.0,-0.0336930166666666
0.0,33.62799018333333,0.8706181797638375,0.0,-0.0038586666666666
0.0,33.82625455,0.8738153338957262,0.0,0.03170515
0.0,33.70708521666667,0.8369947885434941,0.0,0.0344567
0.0,33.78173113333334,0.9516686071868008,0.0,0.0447109999999999
0.0,34.016760616666666,0.9155333805421784,0.0,0.0884457999999999
0.0,33.703727433333334,0.896306160993984,0.0,0.1050807
0.0,33.56439743333333,0.9603254278074792,0.0,0.0993354333333333
0.0,33.84893468333333,0.9594729955037808,0.0,0.0808135666666666
0.0,33.84751143333333,1.0001397767293596,0.0,0.0816119333333333
0.0,33.47918488333333,1.0248817221996347,0.0,0.12835715
0.0,33.122224016666664,0.9562259071080292,0.0,0.23865595
0.0,33.13302125,1.0326516944334103,0.0,0.3316143166666666
0.0,33.36379721666667,0.8595184228450712,0.0,0.3045285
0.0,33.21435433333333,1.038289831005276,0.0,0.3036147666666666
0.0,33.3989823,0.7705947769388616,0.0,0.5229807833333333
0.0,33.64602743333333,0.7426317344853485,0.0,0.7515605
0.0,33.4069166,0.6731077282982045,0.0,0.7066050500000001
0.0,33.23695445,0.7570790828976225,0.0,0.4724716166666666
0.0,33.20490156666667,0.7592991486713832,0.0,0.24960115
0.0,32.89624185,0.8522541408297595,0.0,0.0871462
0.0,32.87025798333333,0.8761271227978906,0.0,-0.0156246833333333
0.0,33.01961463333333,0.8720986797809676,0.0,-0.0702180333333333
0.0,33.22524811666667,0.7101804952450818,0.0,-0.0344624166666666
0.0,33.43472875,0.7659422635434242,0.0,0.1219484666666666
0.0,33.50372278333334,0.7277701623037761,0.0,0.3412431166666667
0.0,33.29956368333333,0.7221335960484353,0.0,0.4972327833333334
0.0,33.50425105,0.7138080523878314,0.0,0.5552243000000001
0.0,33.74775255,0.7896468281642841,0.0,0.5141850499999999
